period,Coal_percentage,Natural_Gas_percentage,Oil_percentage,Nuclear_percentage,Renewable_percentage,internal_health_cost,external_health_cost
2023-01-09T01,0.02%,53.60%,0.24%,13.24%,32.91%,12.99,14.46
2023-01-09T02,0.02%,53.89%,0.22%,12.19%,33.69%,12.90,14.31
2023-01-09T03,0.02%,55.64%,0.22%,12.21%,31.92%,13.26,14.70
2023-01-09T04,0.02%,57.20%,0.22%,12.10%,30.46%,13.62,15.08
2023-01-09T05,0.02%,60.34%,0.23%,12.66%,26.76%,14.35,15.88
2023-01-09T06,0.02%,60.85%,0.23%,13.18%,25.73%,14.48,16.03
2023-01-09T07,0.02%,59.09%,0.24%,14.03%,26.62%,14.14,15.68
2023-01-09T08,0.02%,55.63%,0.26%,14.82%,29.27%,13.64,15.22
2023-01-09T09,0.02%,58.25%,0.28%,15.34%,26.11%,14.31,15.98
2023-01-09T10,0.02%,60.52%,0.28%,15.57%,23.61%,14.81,16.53
2023-01-09T11,0.02%,66.07%,0.28%,15.72%,17.92%,15.92,17.70
2023-01-09T12,0.02%,65.64%,0.26%,15.69%,18.39%,15.66,17.36
2023-01-09T13,0.03%,63.21%,0.28%,14.96%,21.52%,15.33,17.07
2023-01-09T14,0.02%,59.97%,0.35%,13.67%,25.99%,15.25,17.20
2023-01-09T15,0.02%,60.29%,0.35%,11.92%,27.43%,15.34,17.29
2023-01-09T16,0.02%,59.85%,0.36%,11.31%,28.47%,15.31,17.28
2023-01-09T17,0.01%,59.56%,0.36%,11.02%,29.05%,15.25,17.22
2023-01-09T18,0.01%,58.63%,0.37%,10.94%,30.04%,15.15,17.15
2023-01-09T19,0.01%,57.32%,0.37%,10.74%,31.55%,14.83,16.79
2023-01-09T20,0.01%,57.61%,0.36%,10.51%,31.50%,14.86,16.81
2023-01-09T21,0.02%,54.51%,0.37%,10.64%,34.47%,14.26,16.19
2023-01-09T22,0.01%,56.60%,0.38%,10.89%,32.13%,14.76,16.75
2023-01-09T23,0.01%,58.50%,0.39%,11.15%,29.95%,15.23,17.27
2023-01-10T00,0.01%,62.72%,0.39%,11.19%,25.69%,16.11,18.21
2023-01-10T01,0.01%,62.71%,0.38%,10.90%,26.00%,16.03,18.09
