period,Coal_percentage,Natural_Gas_percentage,Oil_percentage,Nuclear_percentage,Renewable_percentage,internal_health_cost,external_health_cost
2023-06-06T00,0.01%,34.60%,0.31%,8.12%,56.96%,9.69,11.18
2023-06-06T01,0.00%,39.61%,0.31%,8.09%,51.99%,10.71,12.27
2023-06-06T02,0.01%,43.75%,0.32%,8.22%,47.70%,11.65,13.28
2023-06-06T03,0.01%,47.90%,0.32%,8.32%,43.45%,12.53,14.23
2023-06-06T04,0.01%,48.94%,0.33%,8.58%,42.14%,12.83,14.58
2023-06-06T05,0.01%,51.15%,0.36%,9.32%,39.16%,13.49,15.34
2023-06-06T06,0.01%,52.14%,0.40%,10.28%,37.17%,14.03,16.04
2023-06-06T07,0.02%,49.29%,0.45%,11.32%,38.93%,13.81,15.94
2023-06-06T08,0.02%,48.66%,0.47%,11.87%,38.99%,13.85,16.05
2023-06-06T09,0.01%,47.08%,0.49%,12.48%,39.94%,13.72,15.97
2023-06-06T10,0.01%,46.57%,0.51%,13.01%,39.89%,13.79,16.11
2023-06-06T11,0.01%,45.86%,0.53%,13.52%,40.08%,13.80,16.18
2023-06-06T12,0.01%,46.33%,0.53%,13.47%,39.67%,13.83,16.19
2023-06-06T13,0.01%,47.58%,0.50%,12.85%,39.05%,13.90,16.19
2023-06-06T14,0.01%,44.06%,0.45%,11.61%,43.87%,12.78,14.86
2023-06-06T15,0.01%,37.66%,0.41%,10.46%,51.47%,11.09,12.94
2023-06-06T16,0.01%,31.43%,0.40%,10.32%,57.84%,9.76,11.52
2023-06-06T17,0.01%,30.53%,0.38%,9.70%,59.39%,9.37,11.04
2023-06-06T18,0.00%,34.50%,0.35%,9.10%,56.04%,10.01,11.64
2023-06-06T19,0.01%,34.89%,0.35%,9.00%,55.75%,10.06,11.68
2023-06-06T20,0.01%,33.92%,0.34%,8.80%,56.93%,9.79,11.38
2023-06-06T21,0.01%,31.42%,0.35%,9.05%,59.17%,9.35,10.94
2023-06-06T22,0.01%,31.86%,0.34%,8.82%,58.97%,9.37,10.94
2023-06-06T23,0.01%,32.08%,0.35%,8.86%,58.71%,9.43,11.00
2023-06-07T00,0.01%,33.93%,0.35%,8.94%,56.77%,9.84,11.45
2023-06-07T01,0.01%,37.50%,0.35%,8.94%,53.21%,10.58,12.23
2023-06-07T02,0.01%,41.01%,0.34%,8.69%,49.95%,11.20,12.84
2023-06-07T03,0.01%,45.95%,0.34%,8.86%,44.83%,12.27,14.01
2023-06-07T04,0.01%,48.35%,0.34%,8.72%,42.58%,12.75,14.51
2023-06-07T05,0.01%,51.25%,0.36%,9.11%,39.27%,13.48,15.32
2023-06-07T06,0.01%,49.85%,0.38%,9.87%,39.88%,13.39,15.31
2023-06-07T07,0.01%,47.33%,0.39%,10.56%,41.71%,12.97,14.89
2023-06-07T08,0.01%,50.45%,0.43%,11.51%,37.60%,13.90,15.99
2023-06-07T09,0.02%,49.93%,0.46%,12.20%,37.40%,14.05,16.23
2023-06-07T10,0.02%,50.60%,0.48%,12.59%,36.31%,14.36,16.62
2023-06-07T11,0.01%,50.74%,0.49%,12.80%,35.95%,14.45,16.74
2023-06-07T12,0.01%,49.46%,0.49%,12.69%,37.35%,14.20,16.48
2023-06-07T13,0.02%,50.52%,0.46%,11.92%,37.09%,14.17,16.36
2023-06-07T14,0.01%,49.89%,0.43%,11.02%,38.65%,13.80,15.88
2023-06-07T15,0.01%,43.93%,0.39%,9.95%,45.73%,12.23,14.09
2023-06-07T16,0.01%,38.16%,0.37%,9.44%,52.02%,10.88,12.60
2023-06-07T17,0.02%,36.75%,0.36%,9.28%,53.59%,10.54,12.23
2023-06-07T18,0.01%,38.31%,0.37%,9.39%,51.91%,10.89,12.62
2023-06-07T19,0.01%,35.59%,0.37%,9.38%,54.65%,10.33,12.02
2023-06-07T20,0.01%,34.84%,0.37%,9.39%,55.40%,10.17,11.85
2023-06-07T21,0.01%,32.59%,0.36%,9.24%,57.80%,9.66,11.29
2023-06-07T22,0.01%,32.33%,0.35%,9.11%,58.19%,9.56,11.17
2023-06-07T23,0.01%,34.62%,0.36%,9.29%,55.72%,10.10,11.76
2023-06-08T00,0.02%,40.05%,0.35%,9.03%,50.55%,11.14,12.84
2023-06-08T01,0.01%,38.13%,0.34%,8.71%,52.81%,10.64,12.27
2023-06-08T02,0.01%,40.38%,0.34%,8.84%,50.44%,11.11,12.78
2023-06-08T03,0.01%,46.10%,0.35%,9.12%,44.43%,12.35,14.11
2023-06-08T04,0.01%,48.43%,0.34%,8.88%,42.34%,12.79,14.56
2023-06-08T05,0.01%,49.40%,0.36%,9.27%,40.97%,13.11,14.94
2023-06-08T06,0.01%,53.01%,0.41%,10.71%,35.86%,14.31,16.37
2023-06-08T07,0.01%,49.53%,0.47%,12.05%,37.95%,14.01,16.21
2023-06-08T08,0.02%,47.65%,0.49%,12.69%,39.16%,13.82,16.08
2023-06-08T09,0.02%,46.07%,0.52%,13.38%,40.02%,13.76,16.11
2023-06-08T10,0.01%,46.52%,0.54%,14.04%,38.89%,14.01,16.43
2023-06-08T11,0.02%,46.48%,0.56%,14.57%,38.37%,14.17,16.65
2023-06-08T12,0.01%,47.97%,0.56%,14.44%,37.02%,14.43,16.92
2023-06-08T13,0.02%,50.22%,0.54%,14.08%,35.14%,14.78,17.25
2023-06-08T14,0.02%,45.77%,0.49%,12.80%,40.91%,13.47,15.72
2023-06-08T15,0.01%,35.04%,0.42%,11.11%,53.42%,10.68,12.56
2023-06-08T16,0.01%,29.56%,0.40%,10.42%,59.61%,9.37,11.11
2023-06-08T17,0.01%,30.56%,0.38%,9.70%,59.34%,9.39,11.06
2023-06-08T18,0.01%,30.20%,0.35%,9.09%,60.35%,9.09,10.66
2023-06-08T19,0.01%,28.69%,0.35%,9.13%,61.81%,8.80,10.35
2023-06-08T20,0.01%,29.01%,0.35%,9.09%,61.54%,8.85,10.40
2023-06-08T21,0.01%,27.43%,0.35%,9.14%,63.07%,8.53,10.07
2023-06-08T22,0.01%,24.00%,0.35%,9.14%,66.50%,7.82,9.32
2023-06-08T23,0.01%,25.04%,0.35%,9.09%,65.51%,8.02,9.53
2023-06-09T00,0.01%,27.11%,0.34%,8.86%,63.68%,8.38,9.87
2023-06-09T01,0.01%,28.35%,0.34%,8.79%,62.51%,8.64,10.16
2023-06-09T02,0.01%,32.10%,0.35%,9.00%,58.54%,9.45,11.03
2023-06-09T03,0.01%,36.98%,0.35%,9.09%,53.57%,10.49,12.14
2023-06-09T04,0.01%,39.48%,0.35%,9.28%,50.87%,11.03,12.73
2023-06-09T05,0.01%,41.12%,0.37%,9.71%,48.79%,11.50,13.27
2023-06-09T06,0.01%,41.19%,0.42%,11.03%,47.35%,11.92,13.87
2023-06-09T07,0.02%,40.25%,0.47%,12.08%,47.19%,12.10,14.18
2023-06-09T08,0.02%,40.62%,0.49%,12.72%,46.15%,12.38,14.55
2023-06-09T09,0.02%,43.21%,0.51%,13.22%,43.04%,13.07,15.34
2023-06-09T10,0.02%,41.44%,0.53%,13.87%,44.13%,12.90,15.24
2023-06-09T11,0.02%,41.18%,0.55%,14.18%,44.07%,12.95,15.32
2023-06-09T12,0.02%,39.49%,0.55%,14.38%,45.56%,12.66,15.03
2023-06-09T13,0.02%,39.03%,0.53%,13.86%,46.56%,12.40,14.70
2023-06-09T14,0.02%,33.34%,0.47%,12.08%,54.09%,10.67,12.67
2023-06-09T15,0.01%,22.78%,0.41%,10.56%,66.24%,8.01,9.68
2023-06-09T16,0.01%,22.76%,0.36%,9.35%,67.53%,7.63,9.14
2023-06-09T17,0.01%,24.40%,0.34%,8.90%,66.35%,7.80,9.25
2023-06-09T18,0.01%,26.40%,0.33%,8.78%,64.47%,8.17,9.64
2023-06-09T19,0.01%,23.56%,0.34%,8.96%,67.12%,7.64,9.09
2023-06-09T20,0.01%,25.19%,0.35%,9.22%,65.23%,8.06,9.57
2023-06-09T21,0.01%,24.72%,0.36%,9.37%,65.54%,8.01,9.53
2023-06-09T22,0.01%,24.26%,0.35%,9.28%,66.09%,7.88,9.39
2023-06-09T23,0.01%,23.21%,0.35%,9.06%,67.37%,7.60,9.06
2023-06-10T00,0.01%,23.42%,0.33%,8.78%,67.45%,7.55,8.98
2023-06-10T01,0.01%,24.95%,0.34%,8.89%,65.81%,7.90,9.36
2023-06-10T02,0.01%,28.73%,0.37%,9.53%,61.35%,8.92,10.52
2023-06-10T03,0.01%,34.11%,0.36%,9.47%,56.05%,10.01,11.67
2023-06-10T04,0.01%,36.66%,0.37%,9.66%,53.31%,10.57,12.27
2023-06-10T05,0.01%,36.45%,0.40%,10.24%,52.90%,10.74,12.54
2023-06-10T06,0.02%,37.80%,0.46%,11.75%,49.97%,11.54,13.57
2023-06-10T07,0.02%,38.30%,0.49%,12.54%,48.65%,11.89,14.03
2023-06-10T08,0.02%,42.62%,0.51%,13.11%,43.74%,12.96,15.23
2023-06-10T09,0.02%,40.55%,0.54%,13.79%,45.10%,12.75,15.08
2023-06-10T10,0.02%,39.01%,0.57%,14.54%,45.87%,12.66,15.07
2023-06-10T11,0.02%,41.93%,0.59%,15.10%,42.36%,13.44,15.96
2023-06-10T12,0.02%,43.20%,0.61%,15.55%,40.63%,13.84,16.44
2023-06-10T13,0.02%,41.48%,0.61%,15.77%,42.12%,13.56,16.16
2023-06-10T14,0.02%,37.26%,0.55%,14.22%,47.95%,12.20,14.54
2023-06-10T15,0.02%,26.32%,0.49%,12.81%,60.36%,9.44,11.45
2023-06-10T16,0.02%,26.86%,0.37%,11.47%,61.28%,8.56,10.15
2023-06-10T17,0.01%,26.65%,0.22%,10.59%,62.53%,7.26,8.32
2023-06-10T18,0.01%,24.88%,0.21%,10.17%,64.73%,6.82,7.84
2023-06-10T19,0.01%,24.53%,0.21%,10.23%,65.02%,6.76,7.78
2023-06-10T20,0.01%,25.29%,0.21%,10.32%,64.17%,6.90,7.92
2023-06-10T21,0.01%,23.83%,0.22%,10.61%,65.32%,6.68,7.72
2023-06-10T22,0.01%,23.18%,0.22%,10.65%,65.94%,6.56,7.58
2023-06-10T23,0.01%,23.10%,0.21%,10.36%,66.31%,6.49,7.49
2023-06-11T00,0.02%,26.63%,0.21%,10.41%,62.73%,7.23,8.28
2023-06-11T01,0.01%,30.38%,0.21%,10.37%,59.03%,7.99,9.09
2023-06-11T02,0.01%,34.22%,0.21%,10.22%,55.33%,8.76,9.90
2023-06-11T03,0.01%,36.75%,0.20%,9.99%,53.05%,9.25,10.40
2023-06-11T04,0.01%,37.73%,0.21%,10.11%,51.95%,9.47,10.64
2023-06-11T05,0.01%,39.71%,0.22%,10.62%,49.44%,9.97,11.20
2023-06-11T06,0.01%,39.55%,0.12%,11.66%,48.66%,9.18,10.10
2023-06-11T07,0.02%,39.11%,0.08%,12.64%,48.14%,8.77,9.55
2023-06-11T08,0.02%,38.78%,0.27%,13.13%,47.80%,10.19,11.59
2023-06-11T09,0.02%,37.20%,0.28%,13.68%,48.82%,9.95,11.36
2023-06-11T10,0.02%,35.11%,0.29%,14.02%,50.57%,9.58,10.98
2023-06-11T11,0.02%,34.16%,0.29%,14.25%,51.28%,9.42,10.83
2023-06-11T12,0.02%,34.78%,0.29%,14.19%,50.72%,9.54,10.95
2023-06-11T13,0.02%,33.38%,0.30%,14.63%,51.68%,9.32,10.74
2023-06-11T14,0.02%,33.68%,0.27%,13.24%,52.80%,9.15,10.49
2023-06-11T15,0.02%,27.20%,0.24%,11.62%,60.92%,7.55,8.69
2023-06-11T16,0.01%,24.40%,0.22%,10.76%,64.60%,6.82,7.87
2023-06-11T17,0.01%,22.57%,0.22%,10.71%,66.49%,6.44,7.46
2023-06-11T18,0.01%,25.02%,0.21%,10.39%,64.37%,6.89,7.92
2023-06-11T19,0.02%,25.12%,0.21%,10.16%,64.50%,6.87,7.89
2023-06-11T20,0.02%,23.09%,0.21%,10.15%,66.53%,6.46,7.45
2023-06-11T21,0.02%,19.34%,0.21%,10.07%,70.38%,5.66,6.60
2023-06-11T22,0.02%,18.56%,0.20%,9.80%,71.42%,5.46,6.37
2023-06-11T23,0.02%,18.66%,0.20%,9.87%,71.26%,5.49,6.41
2023-06-12T00,0.02%,21.18%,0.20%,9.94%,68.66%,6.02,6.98
2023-06-12T01,0.01%,23.63%,0.20%,9.76%,66.40%,6.50,7.47
2023-06-12T02,0.01%,28.03%,0.21%,10.19%,61.56%,7.48,8.54
2023-06-12T03,0.01%,34.36%,0.21%,10.30%,55.13%,8.81,9.95
2023-06-12T04,0.01%,36.36%,0.21%,10.34%,53.07%,9.23,10.40
2023-06-12T05,0.01%,37.45%,0.22%,10.58%,51.75%,9.49,10.69
2023-06-12T06,0.02%,37.18%,0.24%,11.97%,50.59%,9.67,10.96
2023-06-12T07,0.02%,38.28%,0.27%,13.07%,48.37%,10.08,11.46
2023-06-12T08,0.02%,39.23%,0.28%,13.51%,46.97%,10.35,11.78
2023-06-12T09,0.02%,37.52%,0.29%,14.18%,47.99%,10.11,11.56
2023-06-12T10,0.01%,36.50%,0.30%,14.77%,48.41%,9.99,11.47
2023-06-12T11,0.01%,37.47%,0.30%,14.92%,47.29%,10.22,11.72
2023-06-12T12,0.02%,38.50%,0.31%,15.07%,46.10%,10.45,11.98
2023-06-12T13,0.02%,41.38%,0.29%,14.04%,44.28%,10.88,12.36
2023-06-12T14,0.02%,37.68%,0.25%,12.05%,50.01%,9.78,11.09
2023-06-12T15,0.02%,29.76%,0.21%,10.37%,59.65%,7.83,8.91
2023-06-12T16,0.01%,22.22%,0.20%,9.83%,67.74%,6.22,7.18
2023-06-12T17,0.01%,22.92%,0.20%,9.57%,67.30%,6.32,7.27
2023-06-12T18,0.02%,25.05%,0.19%,9.14%,65.61%,6.69,7.64
2023-06-12T19,0.02%,25.61%,0.18%,8.91%,65.28%,6.77,7.71
2023-06-12T20,0.02%,24.53%,0.18%,8.88%,66.40%,6.55,7.47
2023-06-12T21,0.01%,22.49%,0.18%,8.99%,68.32%,6.14,7.05
2023-06-12T22,0.02%,20.73%,0.19%,9.19%,69.87%,5.81,6.71
2023-06-12T23,0.01%,21.08%,0.18%,8.99%,69.74%,5.85,6.74
2023-06-13T00,0.02%,23.59%,0.17%,9.08%,67.14%,6.22,7.08
2023-06-13T01,0.02%,26.28%,0.16%,8.62%,64.92%,6.77,7.66
2023-06-13T02,0.01%,31.45%,0.18%,8.89%,59.47%,7.97,8.98
2023-06-13T03,0.01%,39.25%,0.18%,9.01%,51.54%,9.61,10.73
2023-06-13T04,0.01%,42.15%,0.19%,9.27%,48.38%,10.26,11.43
2023-06-13T05,0.01%,43.95%,0.20%,9.66%,46.18%,10.69,11.92
2023-06-13T06,0.01%,40.68%,0.23%,11.17%,47.91%,10.27,11.55
2023-06-13T07,0.02%,41.40%,0.26%,12.59%,45.73%,10.65,12.05
2023-06-13T08,0.02%,36.75%,0.28%,13.65%,49.30%,9.87,11.28
2023-06-13T09,0.02%,31.27%,0.30%,14.69%,53.73%,8.91,10.32
2023-06-13T10,0.03%,31.23%,0.31%,15.12%,53.32%,8.96,10.41
2023-06-13T11,0.02%,31.43%,0.32%,15.56%,52.66%,9.08,10.55
2023-06-13T12,0.03%,30.65%,0.32%,15.74%,53.26%,8.95,10.42
2023-06-13T13,0.01%,32.08%,0.31%,15.01%,52.59%,9.12,10.56
2023-06-13T14,0.02%,29.19%,0.27%,13.68%,56.84%,8.25,9.55
2023-06-13T15,0.01%,22.17%,0.21%,11.31%,66.31%,6.25,7.23
2023-06-13T16,0.01%,21.92%,0.20%,10.09%,67.78%,6.13,7.08
2023-06-13T17,0.02%,23.72%,0.19%,9.61%,66.46%,6.43,7.36
2023-06-13T18,0.01%,24.59%,0.18%,9.41%,65.80%,6.54,7.46
2023-06-13T19,0.02%,26.21%,0.18%,9.37%,64.22%,6.87,7.81
2023-06-13T20,0.01%,26.93%,0.18%,9.28%,63.60%,7.01,7.95
2023-06-13T21,0.01%,25.81%,0.18%,9.26%,64.74%,6.78,7.70
2023-06-13T22,0.01%,22.82%,0.19%,9.26%,67.71%,6.26,7.19
2023-06-13T23,0.01%,22.31%,0.19%,9.29%,68.19%,6.16,7.08
2023-06-14T00,0.01%,22.44%,0.19%,9.20%,68.16%,6.16,7.08
2023-06-14T01,0.01%,21.54%,0.19%,9.30%,68.96%,6.00,6.91
2023-06-14T02,0.01%,23.76%,0.21%,10.07%,65.95%,6.58,7.58
2023-06-14T03,0.01%,29.41%,0.21%,10.35%,60.01%,7.80,8.88
2023-06-14T04,0.01%,31.78%,0.21%,10.42%,57.57%,8.30,9.42
2023-06-14T05,0.02%,30.78%,0.23%,11.07%,57.90%,8.20,9.36
2023-06-14T06,0.03%,30.30%,0.25%,12.43%,56.99%,8.33,9.57
2023-06-14T07,0.02%,31.76%,0.27%,13.21%,54.74%,8.76,10.07
2023-06-14T08,0.03%,30.72%,0.30%,14.46%,54.49%,8.75,10.14
2023-06-14T09,0.03%,31.01%,0.32%,15.60%,53.05%,9.00,10.47
2023-06-14T10,0.03%,26.57%,0.32%,15.87%,57.21%,8.13,9.56
2023-06-14T11,0.04%,26.53%,0.33%,15.91%,57.19%,8.13,9.57
2023-06-14T12,0.04%,25.09%,0.34%,16.51%,58.02%,7.93,9.39
2023-06-14T13,0.03%,24.73%,0.34%,16.41%,58.50%,7.83,9.28
2023-06-14T14,0.01%,23.84%,0.29%,14.19%,61.66%,7.28,8.56
2023-06-14T15,0.01%,23.63%,0.23%,11.43%,64.70%,6.78,7.86
2023-06-14T16,0.01%,24.46%,0.21%,10.41%,64.90%,6.78,7.81
2023-06-14T17,0.01%,23.62%,0.20%,9.97%,66.20%,6.53,7.52
2023-06-14T18,0.01%,22.17%,0.20%,9.58%,68.05%,6.17,7.11
2023-06-14T19,0.01%,22.87%,0.19%,9.43%,67.50%,6.29,7.23
2023-06-14T20,0.01%,20.77%,0.19%,9.49%,69.55%,5.87,6.78
2023-06-14T21,0.01%,20.55%,0.22%,9.35%,69.88%,6.03,7.04
2023-06-14T22,0.01%,21.07%,0.26%,9.02%,69.64%,6.44,7.57
2023-06-14T23,0.01%,22.43%,0.31%,8.78%,68.47%,7.14,8.46
2023-06-15T00,0.01%,24.16%,0.33%,8.83%,66.67%,7.67,9.08
2023-06-15T01,0.01%,23.48%,0.33%,8.70%,67.48%,7.55,8.97
2023-06-15T02,0.01%,26.77%,0.35%,9.30%,63.57%,8.41,9.95
2023-06-15T03,0.00%,31.86%,0.38%,10.03%,57.73%,9.69,11.38
2023-06-15T04,0.01%,35.03%,0.39%,10.42%,54.15%,10.43,12.20
2023-06-15T05,0.01%,33.70%,0.43%,11.23%,54.63%,10.44,12.32
2023-06-15T06,0.01%,32.09%,0.47%,12.27%,55.16%,10.47,12.48
2023-06-15T07,0.02%,32.04%,0.50%,13.00%,54.44%,10.69,12.79
2023-06-15T08,0.02%,30.88%,0.51%,13.29%,55.29%,10.55,12.68
2023-06-15T09,0.03%,27.70%,0.54%,14.11%,57.62%,10.14,12.34
2023-06-15T10,0.02%,28.06%,0.56%,14.55%,56.82%,10.36,12.62
2023-06-15T11,0.02%,28.46%,0.58%,14.95%,55.99%,10.57,12.89
2023-06-15T12,0.02%,28.51%,0.59%,15.43%,55.45%,10.68,13.04
2023-06-15T13,0.02%,28.83%,0.57%,14.68%,55.89%,10.57,12.85
2023-06-15T14,0.02%,27.16%,0.50%,13.09%,59.24%,9.67,11.70
2023-06-15T15,0.01%,23.86%,0.41%,10.70%,65.01%,8.28,9.98
2023-06-15T16,0.01%,20.06%,0.38%,9.67%,69.87%,7.21,8.74
2023-06-15T17,0.02%,21.03%,0.35%,9.04%,69.56%,7.21,8.67
2023-06-15T18,0.01%,21.82%,0.34%,8.83%,68.99%,7.28,8.71
2023-06-15T19,0.01%,22.32%,0.34%,8.67%,68.66%,7.37,8.80
2023-06-15T20,0.01%,22.13%,0.34%,8.70%,68.83%,7.31,8.73
2023-06-15T21,0.01%,21.97%,0.34%,8.63%,69.05%,7.29,8.71
2023-06-15T22,0.01%,22.68%,0.33%,8.32%,68.67%,7.33,8.72
2023-06-15T23,0.01%,20.89%,0.32%,8.23%,70.54%,6.94,8.29
2023-06-16T00,0.01%,22.49%,0.32%,8.09%,69.10%,7.22,8.57
2023-06-16T01,0.01%,22.79%,0.32%,8.25%,68.62%,7.33,8.71
2023-06-16T02,0.01%,27.00%,0.34%,8.65%,64.00%,8.32,9.81
2023-06-16T03,0.01%,32.74%,0.35%,8.97%,57.93%,9.61,11.21
2023-06-16T04,0.01%,37.90%,0.36%,9.27%,52.46%,10.75,12.44
2023-06-16T05,0.01%,39.28%,0.38%,9.83%,50.49%,11.21,12.99
2023-06-16T06,0.01%,38.67%,0.43%,10.92%,49.97%,11.46,13.39
2023-06-16T07,0.02%,37.33%,0.47%,11.95%,50.24%,11.51,13.56
2023-06-16T08,0.03%,37.70%,0.51%,13.02%,48.75%,11.93,14.13
2023-06-16T09,0.03%,37.90%,0.56%,14.01%,47.51%,12.35,14.71
2023-06-16T10,0.03%,39.60%,0.58%,14.47%,45.32%,12.85,15.30
2023-06-16T11,0.03%,40.72%,0.58%,14.53%,44.14%,13.10,15.56
2023-06-16T12,0.03%,42.65%,0.57%,14.31%,42.45%,13.42,15.87
2023-06-16T13,0.02%,42.73%,0.55%,13.91%,42.79%,13.30,15.70
2023-06-16T14,0.02%,40.52%,0.50%,12.84%,46.12%,12.45,14.66
2023-06-16T15,0.02%,29.09%,0.45%,11.40%,59.05%,9.63,11.51
2023-06-16T16,0.01%,24.42%,0.41%,10.45%,64.70%,8.36,10.06
2023-06-16T17,0.01%,25.18%,0.37%,9.55%,64.89%,8.24,9.82
2023-06-16T18,0.01%,25.76%,0.36%,9.26%,64.60%,8.27,9.82
2023-06-16T19,0.01%,26.36%,0.35%,9.00%,64.28%,8.31,9.84
2023-06-16T20,0.01%,25.08%,0.35%,9.01%,65.55%,8.02,9.52
2023-06-16T21,0.01%,23.88%,0.35%,9.05%,66.71%,7.78,9.27
2023-06-16T22,0.01%,22.92%,0.35%,9.07%,67.66%,7.59,9.07
2023-06-16T23,0.01%,22.60%,0.35%,8.91%,68.13%,7.48,8.93
2023-06-17T00,0.01%,23.10%,0.35%,9.08%,67.45%,7.63,9.11
2023-06-17T01,0.02%,26.35%,0.36%,9.27%,64.01%,8.36,9.90
2023-06-17T02,0.02%,31.18%,0.36%,9.31%,59.13%,9.40,11.03
2023-06-17T03,0.01%,34.98%,0.37%,9.52%,55.11%,10.22,11.91
2023-06-17T04,0.01%,37.96%,0.39%,9.95%,51.70%,11.00,12.80
2023-06-17T05,0.01%,38.58%,0.40%,10.29%,50.71%,11.24,13.09
2023-06-17T06,0.02%,39.62%,0.45%,11.34%,48.57%,11.83,13.85
2023-06-17T07,0.02%,40.26%,0.49%,12.27%,46.96%,12.26,14.41
2023-06-17T08,0.02%,39.29%,0.51%,13.07%,47.10%,12.27,14.50
2023-06-17T09,0.03%,36.05%,0.55%,14.16%,49.22%,11.90,14.21
2023-06-17T10,0.03%,32.96%,0.59%,15.14%,51.28%,11.57,13.97
2023-06-17T11,0.03%,33.62%,0.60%,15.53%,50.21%,11.82,14.29
2023-06-17T12,0.03%,34.84%,0.61%,15.56%,48.96%,12.14,14.65
2023-06-17T13,0.04%,35.78%,0.63%,15.87%,47.68%,12.49,15.07
2023-06-17T14,0.03%,32.99%,0.57%,14.62%,51.79%,11.46,13.82
2023-06-17T15,0.02%,26.07%,0.46%,11.85%,61.60%,9.15,11.05
2023-06-17T16,0.02%,26.93%,0.42%,10.81%,61.82%,8.99,10.77
2023-06-17T17,0.02%,26.87%,0.41%,10.54%,62.16%,8.89,10.63
2023-06-17T18,0.01%,27.50%,0.40%,10.31%,61.77%,8.95,10.66
2023-06-17T19,0.01%,23.65%,0.39%,10.20%,65.74%,8.08,9.71
2023-06-17T20,0.01%,23.74%,0.39%,10.17%,65.69%,8.09,9.72
2023-06-17T21,0.01%,21.86%,0.39%,9.99%,67.75%,7.65,9.23
2023-06-17T22,0.01%,20.52%,0.38%,9.70%,69.39%,7.28,8.81
2023-06-17T23,0.01%,18.60%,0.36%,9.25%,71.78%,6.78,8.24
2023-06-18T00,0.01%,18.85%,0.35%,9.00%,71.78%,6.75,8.18
2023-06-18T01,0.01%,19.85%,0.35%,9.12%,70.67%,6.96,8.40
2023-06-18T02,0.02%,23.78%,0.37%,9.55%,66.28%,7.91,9.46
2023-06-18T03,0.02%,30.15%,0.38%,9.92%,59.53%,9.34,11.02
2023-06-18T04,0.01%,34.37%,0.40%,10.34%,54.87%,10.34,12.13
2023-06-18T05,0.01%,35.58%,0.41%,10.75%,53.24%,10.72,12.57
2023-06-18T06,0.02%,37.47%,0.45%,11.42%,50.65%,11.36,13.34
2023-06-18T07,0.02%,37.60%,0.48%,12.30%,49.60%,11.67,13.77
2023-06-18T08,0.02%,34.65%,0.53%,13.43%,51.38%,11.47,13.70
2023-06-18T09,0.02%,32.41%,0.57%,14.46%,52.54%,11.29,13.61
2023-06-18T10,0.02%,29.43%,0.59%,14.97%,55.00%,10.83,13.19
2023-06-18T11,0.02%,28.02%,0.61%,15.65%,55.69%,10.76,13.19
2023-06-18T12,0.03%,26.24%,0.64%,16.31%,56.78%,10.60,13.09
2023-06-18T13,0.02%,25.83%,0.66%,16.85%,56.64%,10.68,13.23
2023-06-18T14,0.02%,19.89%,0.59%,15.23%,64.28%,8.88,11.12
2023-06-18T15,0.02%,20.92%,0.47%,12.16%,66.43%,8.17,10.05
2023-06-18T16,0.02%,22.77%,0.43%,10.90%,65.88%,8.16,9.89
2023-06-18T17,0.02%,23.47%,0.41%,10.53%,65.58%,8.15,9.82
2023-06-18T18,0.01%,26.20%,0.39%,10.15%,63.25%,8.59,10.24
2023-06-18T19,0.01%,27.06%,0.40%,10.33%,62.19%,8.83,10.52
2023-06-18T20,0.02%,25.01%,0.42%,10.87%,63.68%,8.58,10.31
2023-06-18T21,0.02%,21.90%,0.43%,10.92%,66.73%,7.99,9.71
2023-06-18T22,0.02%,19.23%,0.41%,10.70%,69.64%,7.33,8.97
2023-06-18T23,0.02%,16.43%,0.39%,10.18%,72.99%,6.58,8.12
2023-06-19T00,0.01%,15.32%,0.38%,9.90%,74.38%,6.27,7.75
2023-06-19T01,0.01%,17.91%,0.37%,9.55%,72.16%,6.69,8.16
2023-06-19T02,0.01%,19.61%,0.40%,10.38%,69.60%,7.30,8.91
2023-06-19T03,0.01%,23.73%,0.43%,11.05%,64.79%,8.36,10.10
2023-06-19T04,0.01%,27.73%,0.44%,11.43%,60.40%,9.31,11.15
2023-06-19T05,0.01%,27.75%,0.46%,12.01%,59.77%,9.49,11.41
2023-06-19T06,0.02%,27.64%,0.51%,13.30%,58.53%,9.87,11.96
2023-06-19T07,0.02%,28.41%,0.55%,14.35%,56.67%,10.36,12.59
2023-06-19T08,0.02%,26.72%,0.57%,14.65%,58.04%,10.16,12.43
2023-06-19T09,0.02%,28.55%,0.59%,15.18%,55.66%,10.70,13.07
2023-06-19T10,0.02%,29.46%,0.60%,15.30%,54.63%,10.93,13.33
2023-06-19T11,0.02%,30.20%,0.61%,15.52%,53.65%,11.16,13.60
2023-06-19T12,0.02%,31.08%,0.62%,15.77%,52.52%,11.42,13.89
2023-06-19T13,0.02%,29.85%,0.59%,15.23%,54.31%,10.99,13.38
2023-06-19T14,0.01%,27.43%,0.52%,13.45%,58.59%,9.88,11.99
2023-06-19T15,0.01%,21.29%,0.43%,11.19%,67.08%,7.91,9.64
2023-06-19T16,0.01%,23.20%,0.39%,10.06%,66.33%,7.98,9.61
2023-06-19T17,0.01%,22.81%,0.38%,9.72%,67.08%,7.76,9.32
2023-06-19T18,0.01%,24.37%,0.37%,9.54%,65.71%,8.02,9.58
