period,Coal_percentage,Natural_Gas_percentage,Nuclear_percentage,Oil_percentage,Renewable_percentage,internal_health_cost,external_health_cost
2023-01-05T00,10.99%,17.74%,48.23%,0.00%,23.04%,5.58,19.27
2023-01-05T01,10.80%,16.89%,47.53%,0.00%,24.78%,5.46,18.88
2023-01-05T02,10.90%,16.29%,47.94%,0.00%,24.87%,5.48,18.98
2023-01-05T03,11.10%,15.07%,48.81%,0.00%,25.02%,5.50,19.18
2023-01-05T04,11.61%,15.53%,51.18%,0.00%,21.68%,5.75,20.05
2023-01-05T05,12.29%,16.92%,54.27%,0.00%,16.52%,6.10,21.26
2023-01-05T06,12.71%,17.55%,55.94%,0.00%,13.80%,6.31,21.99
2023-01-05T07,12.79%,17.95%,56.35%,0.00%,12.91%,6.37,22.16
2023-01-05T08,12.82%,18.24%,56.71%,0.00%,12.23%,6.39,22.24
2023-01-05T09,12.71%,19.72%,55.87%,0.00%,11.71%,6.42,22.20
2023-01-05T10,11.96%,22.08%,54.47%,0.00%,11.50%,6.21,21.23
2023-01-05T11,12.70%,23.86%,51.19%,0.00%,12.25%,6.61,22.60
2023-01-05T12,12.77%,24.59%,46.88%,0.00%,15.76%,6.68,22.78
2023-01-05T13,12.02%,23.61%,42.21%,0.00%,22.17%,6.31,21.48
2023-01-05T14,12.82%,23.22%,41.52%,0.00%,22.43%,6.63,22.72
2023-01-05T15,13.26%,22.53%,43.27%,0.00%,20.93%,6.79,23.36
2023-01-05T16,12.68%,21.48%,45.61%,0.00%,20.23%,6.49,22.32
2023-01-05T17,12.36%,21.74%,47.18%,0.00%,18.72%,6.37,21.85
2023-01-05T18,11.56%,22.80%,48.29%,0.00%,17.35%,6.07,20.67
2023-01-05T19,11.40%,23.58%,49.39%,0.00%,15.63%,6.04,20.49
2023-01-05T20,12.39%,22.45%,49.34%,0.00%,15.82%,6.41,21.96
2023-01-05T21,12.75%,22.86%,48.35%,0.00%,16.04%,6.59,22.58
2023-01-05T22,12.68%,22.87%,47.90%,0.00%,16.55%,6.56,22.46
2023-01-05T23,12.41%,24.87%,45.76%,0.00%,16.96%,6.54,22.23
2023-01-06T00,12.33%,25.62%,42.66%,0.00%,19.39%,6.54,22.18
2023-01-06T01,11.99%,25.97%,41.69%,0.00%,20.35%,6.41,21.67
2023-01-06T02,11.95%,25.92%,41.77%,0.00%,20.36%,6.39,21.59
2023-01-06T03,12.34%,25.13%,42.75%,0.00%,19.77%,6.52,22.14
2023-01-06T04,12.78%,26.72%,44.51%,0.00%,16.00%,6.78,22.99
2023-01-06T05,13.42%,24.46%,47.07%,0.00%,15.05%,6.95,23.80
2023-01-06T06,12.94%,26.65%,48.40%,0.00%,12.01%,6.85,23.25
2023-01-06T07,12.47%,28.96%,50.18%,0.00%,8.39%,6.76,22.72
2023-01-06T08,11.98%,30.57%,50.29%,0.00%,7.17%,6.62,22.10
2023-01-06T09,11.80%,31.91%,49.24%,0.00%,7.05%,6.61,21.93
2023-01-06T10,11.42%,31.88%,47.94%,0.00%,8.77%,6.44,21.32
2023-01-06T11,12.37%,28.49%,45.21%,0.00%,13.93%,6.69,22.52
2023-01-06T12,13.14%,27.33%,41.97%,0.00%,17.55%,6.97,23.64
2023-01-06T13,12.21%,26.79%,38.53%,0.00%,22.47%,6.54,22.10
2023-01-06T14,12.20%,25.63%,37.88%,0.00%,24.30%,6.48,21.96
2023-01-06T15,13.01%,23.60%,39.79%,0.00%,23.60%,6.73,23.07
2023-01-06T16,14.03%,22.58%,42.96%,0.00%,20.42%,7.13,24.60
2023-01-06T17,12.84%,23.49%,45.31%,0.00%,18.35%,6.66,22.79
2023-01-06T18,12.22%,24.70%,45.95%,0.00%,17.13%,6.45,21.92
2023-01-06T19,12.49%,24.39%,47.36%,0.00%,15.77%,6.55,22.31
2023-01-06T20,12.54%,26.82%,48.55%,0.00%,12.10%,6.68,22.62
2023-01-06T21,12.35%,26.69%,49.17%,0.00%,11.79%,6.60,22.30
2023-01-06T22,11.99%,28.02%,48.36%,0.00%,11.63%,6.50,21.86
2023-01-06T23,11.62%,30.84%,46.70%,0.00%,10.84%,6.48,21.55
2023-01-07T00,11.04%,31.61%,43.62%,0.00%,13.73%,6.27,20.70
2023-01-07T01,11.58%,30.90%,42.41%,0.00%,15.10%,6.47,21.50
2023-01-07T02,11.41%,30.69%,42.23%,0.00%,15.66%,6.38,21.20
2023-01-07T03,11.59%,30.16%,42.68%,0.00%,15.56%,6.44,21.44
2023-01-07T04,11.25%,30.71%,43.85%,0.00%,14.19%,6.32,20.95
2023-01-07T05,11.43%,30.99%,45.87%,0.00%,11.71%,6.41,21.26
2023-01-07T06,11.91%,31.25%,46.89%,0.00%,9.95%,6.63,22.06
2023-01-07T07,12.40%,32.72%,46.08%,0.00%,8.80%,6.91,22.97
2023-01-07T08,12.44%,30.11%,46.68%,0.00%,10.78%,6.80,22.79
2023-01-07T09,12.48%,29.13%,47.25%,0.00%,11.14%,6.77,22.76
2023-01-07T10,12.11%,29.28%,47.32%,0.00%,11.28%,6.62,22.18
2023-01-07T11,12.01%,27.87%,46.77%,0.00%,13.34%,6.51,21.88
2023-01-07T12,11.68%,27.80%,45.80%,0.00%,14.73%,6.36,21.34
2023-01-07T13,11.23%,27.05%,43.92%,0.00%,17.81%,6.13,20.55
2023-01-07T14,10.99%,28.22%,42.97%,0.00%,17.81%,6.09,20.29
2023-01-07T15,10.80%,29.08%,42.39%,0.00%,17.73%,6.04,20.07
2023-01-07T16,10.87%,28.47%,42.61%,0.00%,18.05%,6.05,20.12
2023-01-07T17,11.00%,28.02%,42.92%,0.00%,18.06%,6.08,20.29
2023-01-07T18,11.16%,27.76%,43.70%,0.00%,17.39%,6.13,20.51
2023-01-07T19,11.50%,28.22%,44.90%,0.00%,15.37%,6.30,21.10
2023-01-07T20,11.63%,29.00%,45.62%,0.00%,13.75%,6.40,21.38
2023-01-07T21,11.76%,27.94%,46.32%,0.00%,13.98%,6.40,21.49
2023-01-07T22,11.63%,28.40%,46.57%,0.00%,13.40%,6.37,21.32
2023-01-07T23,11.33%,28.93%,45.71%,0.00%,14.03%,6.26,20.90
2023-01-08T00,11.18%,27.93%,44.97%,0.00%,15.92%,6.15,20.56
2023-01-08T01,11.29%,26.66%,45.32%,0.00%,16.73%,6.14,20.61
2023-01-08T02,11.53%,25.56%,45.95%,0.00%,16.97%,6.19,20.89
