period,Coal_percentage,Natural_Gas_percentage,Nuclear_percentage,Oil_percentage,Renewable_percentage,internal_health_cost,external_health_cost
2023-07-31T23,19.91%,47.30%,26.07%,0.31%,6.41%,30.18,19.27
2023-08-01T00,19.93%,47.50%,26.94%,0.34%,5.28%,30.30,19.36
2023-08-01T01,20.62%,47.81%,27.97%,0.36%,3.24%,31.15,19.92
2023-08-01T02,20.79%,46.95%,29.89%,0.19%,2.17%,30.89,19.70
2023-08-01T03,19.10%,46.61%,31.75%,0.20%,2.33%,28.98,18.45
2023-08-01T04,18.77%,44.35%,34.31%,0.23%,2.36%,28.29,18.04
2023-08-01T05,18.50%,43.24%,35.50%,0.24%,2.52%,27.84,17.76
2023-08-01T06,18.55%,42.52%,36.15%,0.25%,2.53%,27.80,17.75
2023-08-01T07,18.97%,41.28%,36.96%,0.25%,2.53%,28.08,17.96
2023-08-01T08,19.21%,40.89%,37.20%,0.26%,2.45%,28.29,18.11
2023-08-01T09,18.91%,41.75%,36.64%,0.26%,2.45%,28.10,17.96
2023-08-01T10,19.06%,42.88%,35.58%,0.25%,2.23%,28.43,18.17
2023-08-01T11,18.99%,42.43%,34.83%,0.25%,3.51%,28.27,18.06
2023-08-01T12,18.52%,42.42%,33.39%,0.24%,5.43%,27.74,17.71
2023-08-01T13,18.13%,42.89%,32.61%,0.22%,6.15%,27.35,17.44
2023-08-01T14,17.42%,44.23%,31.21%,0.21%,6.92%,26.75,17.02
2023-08-01T15,17.46%,44.93%,30.22%,0.21%,7.18%,26.90,17.10
2023-08-01T16,17.48%,46.00%,28.95%,0.35%,7.22%,27.35,17.45
2023-08-01T17,17.46%,45.40%,28.06%,0.40%,8.69%,27.31,17.45
2023-08-01T18,17.31%,45.80%,26.99%,0.43%,9.46%,27.28,17.43
2023-08-01T19,18.06%,45.67%,26.60%,0.39%,9.28%,28.01,17.90
2023-08-01T20,17.92%,45.98%,26.06%,0.41%,9.63%,27.94,17.85
2023-08-01T21,18.60%,46.29%,25.84%,0.35%,8.91%,28.64,18.29
2023-08-01T22,18.76%,46.70%,26.17%,0.35%,8.01%,28.89,18.45
2023-08-01T23,19.90%,46.51%,26.79%,0.36%,6.43%,30.14,19.28
2023-08-02T00,19.87%,46.91%,27.75%,0.36%,5.11%,30.16,19.28
2023-08-02T01,20.81%,46.58%,28.73%,0.35%,3.53%,31.14,19.93
2023-08-02T02,21.04%,45.23%,30.59%,0.20%,2.94%,30.92,19.75
2023-08-02T03,19.40%,44.98%,32.53%,0.21%,2.88%,29.07,18.53
2023-08-02T04,18.48%,45.00%,33.83%,0.23%,2.45%,28.08,17.89
2023-08-02T05,19.09%,40.48%,36.69%,0.23%,3.51%,28.05,17.94
2023-08-02T06,18.82%,40.69%,36.62%,0.22%,3.65%,27.77,17.75
2023-08-02T07,19.05%,39.32%,37.48%,0.23%,3.91%,27.83,17.82
2023-08-02T08,19.39%,38.35%,38.00%,0.24%,4.01%,28.08,18.00
2023-08-02T09,19.26%,39.06%,37.23%,0.24%,4.21%,28.03,17.96
2023-08-02T10,19.03%,40.31%,35.91%,0.23%,4.53%,27.96,17.88
2023-08-02T11,18.89%,40.94%,34.88%,0.23%,5.06%,27.90,17.83
2023-08-02T12,18.51%,41.85%,33.39%,0.22%,6.02%,27.61,17.63
2023-08-02T13,18.60%,42.70%,32.33%,0.22%,6.16%,27.82,17.75
2023-08-02T14,18.61%,43.13%,31.38%,0.22%,6.66%,27.91,17.80
2023-08-02T15,18.47%,43.51%,30.30%,0.28%,7.44%,27.93,17.84
2023-08-02T16,17.86%,45.31%,29.18%,0.31%,7.33%,27.59,17.60
2023-08-02T17,18.42%,45.41%,28.08%,0.51%,7.58%,28.59,18.33
2023-08-02T18,18.55%,45.12%,27.03%,0.46%,8.84%,28.60,18.32
2023-08-02T19,18.81%,44.94%,26.71%,0.40%,9.13%,28.76,18.41
2023-08-02T20,18.72%,44.97%,26.13%,0.45%,9.74%,28.74,18.41
2023-08-02T21,19.37%,45.59%,25.65%,0.36%,9.04%,29.40,18.80
2023-08-02T22,19.87%,46.08%,25.84%,0.30%,7.92%,29.93,19.12
2023-08-02T23,20.20%,46.44%,26.60%,0.32%,6.44%,30.39,19.43
2023-08-03T00,19.88%,46.89%,27.47%,0.35%,5.41%,30.16,19.28
2023-08-03T01,20.20%,47.52%,28.38%,0.34%,3.57%,30.58,19.54
2023-08-03T02,21.42%,46.22%,30.01%,0.20%,2.15%,31.49,20.10
2023-08-03T03,19.59%,46.05%,31.96%,0.21%,2.19%,29.45,18.77
2023-08-03T04,19.12%,42.49%,35.04%,0.23%,3.11%,28.40,18.14
2023-08-03T05,18.09%,43.83%,35.49%,0.23%,2.36%,27.47,17.51
2023-08-03T06,18.24%,43.66%,35.65%,0.23%,2.21%,27.61,17.60
2023-08-03T07,18.15%,43.03%,36.43%,0.24%,2.15%,27.42,17.49
2023-08-03T08,17.99%,43.46%,36.36%,0.24%,1.94%,27.31,17.41
2023-08-03T09,17.93%,44.26%,35.77%,0.24%,1.79%,27.38,17.45
2023-08-03T10,18.29%,44.94%,34.72%,0.24%,1.81%,27.88,17.76
2023-08-03T11,17.87%,45.75%,33.96%,0.23%,2.20%,27.51,17.50
2023-08-03T12,17.58%,46.38%,32.54%,0.21%,3.29%,27.26,17.33
2023-08-03T13,16.83%,47.32%,31.34%,0.21%,4.30%,26.58,16.86
2023-08-03T14,16.48%,47.59%,30.10%,0.24%,5.59%,26.28,16.67
2023-08-03T15,15.99%,49.27%,28.95%,0.26%,5.53%,26.04,16.49
2023-08-03T16,16.57%,49.73%,27.81%,0.44%,5.44%,27.10,17.26
2023-08-03T17,16.46%,49.63%,26.93%,0.49%,6.48%,27.05,17.25
2023-08-03T18,16.59%,49.14%,26.19%,0.60%,7.48%,27.30,17.46
2023-08-03T19,16.81%,49.31%,25.95%,0.43%,7.51%,27.26,17.36
2023-08-03T20,17.13%,49.29%,25.78%,0.41%,7.40%,27.58,17.57
2023-08-03T21,17.13%,49.66%,25.74%,0.37%,7.09%,27.58,17.54
2023-08-03T22,17.40%,49.73%,25.76%,0.42%,6.69%,27.98,17.83
2023-08-03T23,17.73%,49.40%,26.39%,0.38%,6.10%,28.22,17.98
2023-08-04T00,17.76%,50.05%,26.97%,0.40%,4.81%,28.40,18.09
2023-08-04T01,17.83%,50.29%,27.48%,0.43%,3.97%,28.55,18.20
2023-08-04T02,18.20%,49.69%,29.41%,0.49%,2.21%,28.98,18.51
2023-08-04T03,18.47%,48.24%,30.88%,0.37%,2.04%,28.84,18.40
2023-08-04T04,18.52%,44.88%,34.11%,0.23%,2.26%,28.10,17.91
2023-08-04T05,17.30%,46.29%,34.24%,0.26%,1.91%,27.03,17.19
2023-08-04T06,17.17%,46.30%,34.40%,0.27%,1.86%,26.90,17.11
2023-08-04T07,17.34%,45.36%,35.10%,0.32%,1.87%,27.03,17.23
2023-08-04T08,17.42%,45.13%,35.22%,0.34%,1.90%,27.12,17.30
2023-08-04T09,17.27%,45.79%,34.79%,0.23%,1.91%,26.87,17.08
2023-08-04T10,17.47%,46.78%,33.81%,0.23%,1.70%,27.25,17.32
2023-08-04T11,17.13%,47.96%,32.63%,0.22%,2.06%,27.03,17.15
2023-08-04T12,16.76%,48.71%,31.76%,0.21%,2.56%,26.72,16.93
2023-08-04T13,17.02%,48.93%,30.64%,0.20%,3.20%,27.03,17.13
2023-08-04T14,17.16%,49.37%,29.21%,0.21%,4.05%,27.26,17.27
2023-08-04T15,17.09%,50.16%,27.97%,0.37%,4.42%,27.60,17.55
2023-08-04T16,17.18%,49.82%,27.18%,0.45%,5.36%,27.80,17.72
2023-08-04T17,16.83%,49.81%,26.53%,0.47%,6.36%,27.45,17.50
2023-08-04T18,16.89%,49.16%,25.92%,0.42%,7.61%,27.32,17.40
2023-08-04T19,17.26%,48.69%,25.66%,0.37%,8.02%,27.56,17.55
2023-08-04T20,17.18%,48.98%,25.32%,0.39%,8.13%,27.56,17.55
2023-08-04T21,17.52%,48.41%,25.14%,0.39%,8.54%,27.84,17.74
2023-08-04T22,17.82%,48.64%,25.42%,0.34%,7.78%,28.12,17.91
2023-08-04T23,17.37%,49.37%,26.20%,0.35%,6.71%,27.76,17.66
2023-08-05T00,17.00%,49.69%,27.00%,0.36%,5.95%,27.42,17.44
2023-08-05T01,16.82%,50.51%,27.56%,0.36%,4.75%,27.34,17.37
2023-08-05T02,17.30%,49.21%,29.19%,0.28%,4.01%,27.53,17.48
2023-08-05T03,18.11%,47.18%,30.93%,0.20%,3.57%,27.96,17.77
2023-08-05T04,18.27%,47.06%,32.55%,0.25%,1.87%,28.20,17.95
2023-08-05T05,15.97%,45.52%,34.15%,0.22%,4.14%,25.35,16.08
2023-08-05T06,15.91%,44.65%,35.04%,0.22%,4.18%,25.15,15.96
2023-08-05T07,15.37%,43.88%,35.94%,0.23%,4.58%,24.44,15.51
2023-08-05T08,15.35%,43.19%,36.37%,0.23%,4.85%,24.32,15.44
2023-08-05T09,15.24%,42.76%,36.69%,0.24%,5.06%,24.15,15.34
2023-08-05T10,15.12%,43.32%,36.39%,0.24%,4.92%,24.10,15.30
2023-08-05T11,15.06%,42.66%,36.31%,0.24%,5.73%,23.92,15.19
