period,Coal_percentage,Natural_Gas_percentage,Nuclear_percentage,Oil_percentage,Renewable_percentage,internal_health_cost,external_health_cost
2023-09-25T05,16.13%,45.21%,8.59%,0.00%,30.07%,17.26,11.16
2023-09-25T06,16.42%,45.88%,9.08%,0.00%,28.62%,17.55,11.35
2023-09-25T07,16.90%,47.68%,9.47%,0.00%,25.96%,18.13,11.72
2023-09-25T08,17.62%,49.91%,9.77%,0.00%,22.70%,18.93,12.24
2023-09-25T09,18.34%,51.48%,9.98%,0.00%,20.20%,19.64,12.70
2023-09-25T10,19.24%,53.36%,10.00%,0.00%,17.40%,20.51,13.27
2023-09-25T11,19.74%,55.89%,9.83%,0.00%,14.53%,21.21,13.71
2023-09-25T12,20.75%,58.31%,9.57%,0.00%,11.37%,22.23,14.37
2023-09-25T13,20.93%,59.42%,9.43%,0.00%,10.22%,22.51,14.55
2023-09-25T14,20.58%,58.56%,9.33%,0.00%,11.53%,22.15,14.31
2023-09-25T15,19.47%,55.37%,9.03%,0.00%,16.13%,20.95,13.54
2023-09-25T16,19.48%,54.06%,8.57%,0.00%,17.89%,20.77,13.44
2023-09-25T17,18.58%,53.96%,8.14%,0.00%,19.32%,20.15,13.01
2023-09-25T18,17.49%,52.72%,7.68%,0.00%,22.12%,19.24,12.40
2023-09-25T19,17.12%,52.74%,7.27%,0.00%,22.86%,19.01,12.23
2023-09-25T20,16.64%,53.36%,7.03%,0.00%,22.96%,18.77,12.06
2023-09-25T21,16.53%,53.42%,6.85%,0.00%,23.20%,18.71,12.01
2023-09-25T22,16.40%,53.75%,6.78%,0.00%,23.07%,18.67,11.97
2023-09-25T23,16.55%,55.15%,6.96%,0.00%,21.34%,18.97,12.16
2023-09-26T00,17.48%,59.96%,7.25%,0.00%,15.31%,20.28,12.98
2023-09-26T01,18.25%,63.73%,7.61%,0.00%,10.41%,21.34,13.64
2023-09-26T02,18.35%,62.45%,7.78%,0.00%,11.42%,21.22,13.58
2023-09-26T03,18.60%,59.83%,8.11%,0.00%,13.45%,21.01,13.49
2023-09-26T04,19.32%,56.87%,8.60%,0.00%,15.21%,21.06,13.59
2023-09-26T05,18.15%,55.09%,9.23%,0.00%,17.53%,20.03,12.90
2023-09-26T06,16.74%,54.34%,9.93%,0.00%,19.00%,18.98,12.18
2023-09-26T07,15.06%,55.60%,10.42%,0.00%,18.93%,18.03,11.50
2023-09-26T08,15.06%,57.33%,10.79%,0.00%,16.83%,18.28,11.63
